scientific_name,month,season_name,current_sector,target_sector,transition_count
Clypeaster rarispinus,8,SW Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,3
Clypeaster rarispinus,2,Pre-Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,2
Clypeaster rarispinus,6,SW Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,2
Clypeaster rarispinus,9,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,2
Clypeaster rarispinus,9,SW Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,2
Clypeaster rarispinus,8,SW Monsoon,Wadge Bank / Comorin Sector,Wadge Bank / Comorin Sector,1
Ophiuroglypha kinbergi,8,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,24
Ophiuroglypha kinbergi,2,Pre-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,12
Ophiuroglypha kinbergi,10,Post-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,8
Ophiuroglypha kinbergi,2,Pre-Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,6
Ophiuroglypha kinbergi,8,SW Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,6
Ophiuroglypha kinbergi,8,SW Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,4
Ophiuroglypha kinbergi,10,Post-Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,4
Ophiuroglypha kinbergi,12,Post-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,4
Ophiuroglypha kinbergi,2,Pre-Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,2
Ophiuroglypha kinbergi,12,Post-Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,2
Ophiuroglypha kinbergi,12,Post-Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,2
Ophiuroglypha kinbergi,2,Pre-Monsoon,Wadge Bank / Comorin Sector,Wadge Bank / Comorin Sector,1
Ophiuroglypha kinbergi,8,SW Monsoon,Wadge Bank / Comorin Sector,Wadge Bank / Comorin Sector,1
Ophiuroglypha kinbergi,12,Post-Monsoon,Wadge Bank / Comorin Sector,Wadge Bank / Comorin Sector,1
Rastrelliger kanagurta,5,Pre-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,36
Rastrelliger kanagurta,6,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,18
Rastrelliger kanagurta,4,Pre-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,13
Rastrelliger kanagurta,5,Pre-Monsoon,Konkan Coast / Central West Coast,Malabar Upwelling Shelf,9
Rastrelliger kanagurta,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,9
Rastrelliger kanagurta,7,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,9
Rastrelliger kanagurta,5,Pre-Monsoon,Malabar Upwelling Shelf,Konkan Coast / Central West Coast,8
Rastrelliger kanagurta,6,SW Monsoon,Malabar Upwelling Shelf,Konkan Coast / Central West Coast,6
Rastrelliger kanagurta,7,SW Monsoon,Konkan Coast / Central West Coast,Malabar Upwelling Shelf,6
Rastrelliger kanagurta,5,Pre-Monsoon,Malabar Upwelling Shelf,Lakshadweep Sea & Ridge,4
Rastrelliger kanagurta,5,Pre-Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,4
Rastrelliger kanagurta,4,Pre-Monsoon,Malabar Upwelling Shelf,Konkan Coast / Central West Coast,3
Rastrelliger kanagurta,6,SW Monsoon,Malabar Upwelling Shelf,Lakshadweep Sea & Ridge,3
Rastrelliger kanagurta,6,SW Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,3
Rastrelliger kanagurta,7,SW Monsoon,Lakshadweep Sea & Ridge,Malabar Upwelling Shelf,3
Rastrelliger kanagurta,7,SW Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,3
Rastrelliger kanagurta,4,Pre-Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,2
Rastrelliger kanagurta,5,Pre-Monsoon,Konkan Coast / Central West Coast,Konkan Coast / Central West Coast,2
Rastrelliger kanagurta,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Konkan Coast / Central West Coast,2
Rastrelliger kanagurta,4,Pre-Monsoon,Malabar Upwelling Shelf,Lakshadweep Sea & Ridge,1
Rastrelliger kanagurta,5,Pre-Monsoon,Konkan Coast / Central West Coast,Lakshadweep Sea & Ridge,1
Rastrelliger kanagurta,5,Pre-Monsoon,Konkan Coast / Central West Coast,Wadge Bank / Comorin Sector,1
Rastrelliger kanagurta,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Lakshadweep Sea & Ridge,1
Rastrelliger kanagurta,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Wadge Bank / Comorin Sector,1
Sagitta bipunctata,1,Post-Monsoon,Central Arabian Sea Offshore Basin,Central Arabian Sea Offshore Basin,36
Sagitta bipunctata,1,Post-Monsoon,Central Arabian Sea Offshore Basin,North Arabian Sea / Gujarat Shelf,18
Sagitta bipunctata,1,Post-Monsoon,Central Arabian Sea Offshore Basin,South-Eastern Arabian Sea EEZ,9
Sagitta bipunctata,1,Post-Monsoon,Malabar Upwelling Shelf,Central Arabian Sea Offshore Basin,8
Sagitta bipunctata,1,Post-Monsoon,Malabar Upwelling Shelf,North Arabian Sea / Gujarat Shelf,4
Sagitta bipunctata,1,Post-Monsoon,Malabar Upwelling Shelf,South-Eastern Arabian Sea EEZ,2
Sagitta enflata,1,Post-Monsoon,Central Arabian Sea Offshore Basin,Central Arabian Sea Offshore Basin,36
Sagitta enflata,1,Post-Monsoon,Central Arabian Sea Offshore Basin,North Arabian Sea / Gujarat Shelf,18
Sagitta enflata,1,Post-Monsoon,Central Arabian Sea Offshore Basin,South-Eastern Arabian Sea EEZ,9
Sagitta enflata,1,Post-Monsoon,Malabar Upwelling Shelf,Central Arabian Sea Offshore Basin,8
Sagitta enflata,1,Post-Monsoon,Malabar Upwelling Shelf,North Arabian Sea / Gujarat Shelf,4
Sagitta enflata,1,Post-Monsoon,Malabar Upwelling Shelf,South-Eastern Arabian Sea EEZ,2
Sagitta pacifica,1,Post-Monsoon,Central Arabian Sea Offshore Basin,Central Arabian Sea Offshore Basin,40
Sagitta pacifica,1,Post-Monsoon,Central Arabian Sea Offshore Basin,North Arabian Sea / Gujarat Shelf,16
Sagitta pacifica,1,Post-Monsoon,Malabar Upwelling Shelf,Central Arabian Sea Offshore Basin,10
Sagitta pacifica,1,Post-Monsoon,Central Arabian Sea Offshore Basin,South-Eastern Arabian Sea EEZ,8
Sagitta pacifica,1,Post-Monsoon,Malabar Upwelling Shelf,North Arabian Sea / Gujarat Shelf,4
Sagitta pacifica,1,Post-Monsoon,Malabar Upwelling Shelf,South-Eastern Arabian Sea EEZ,2
Sardinella longiceps,6,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,52
Sardinella longiceps,5,Pre-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,51
Sardinella longiceps,7,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,40
Sardinella longiceps,7,SW Monsoon,Konkan Coast / Central West Coast,Malabar Upwelling Shelf,24
Sardinella longiceps,4,Pre-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,20
Sardinella longiceps,5,Pre-Monsoon,Konkan Coast / Central West Coast,Malabar Upwelling Shelf,17
Sardinella longiceps,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,17
Sardinella longiceps,7,SW Monsoon,Lakshadweep Sea & Ridge,Malabar Upwelling Shelf,16
Sardinella longiceps,6,SW Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,13
Sardinella longiceps,6,SW Monsoon,Malabar Upwelling Shelf,Konkan Coast / Central West Coast,12
Sardinella longiceps,8,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,12
Sardinella longiceps,7,SW Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,10
Sardinella longiceps,5,Pre-Monsoon,Malabar Upwelling Shelf,Konkan Coast / Central West Coast,9
Sardinella longiceps,5,Pre-Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,9
Sardinella longiceps,6,SW Monsoon,Malabar Upwelling Shelf,Lakshadweep Sea & Ridge,8
Sardinella longiceps,6,SW Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,8
Sardinella longiceps,5,Pre-Monsoon,Malabar Upwelling Shelf,Lakshadweep Sea & Ridge,6
Sardinella longiceps,7,SW Monsoon,Konkan Coast / Central West Coast,Wadge Bank / Comorin Sector,6
Sardinella longiceps,8,SW Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,6
Sardinella longiceps,4,Pre-Monsoon,Malabar Upwelling Shelf,Konkan Coast / Central West Coast,4
Sardinella longiceps,4,Pre-Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,4
Sardinella longiceps,7,SW Monsoon,Lakshadweep Sea & Ridge,Wadge Bank / Comorin Sector,4
Sardinella longiceps,5,Pre-Monsoon,Konkan Coast / Central West Coast,Konkan Coast / Central West Coast,3
Sardinella longiceps,5,Pre-Monsoon,Konkan Coast / Central West Coast,Wadge Bank / Comorin Sector,3
Sardinella longiceps,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Konkan Coast / Central West Coast,3
Sardinella longiceps,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Wadge Bank / Comorin Sector,3
Sardinella longiceps,6,SW Monsoon,Wadge Bank / Comorin Sector,Konkan Coast / Central West Coast,3
Sardinella longiceps,4,Pre-Monsoon,Malabar Upwelling Shelf,Lakshadweep Sea & Ridge,2
Sardinella longiceps,5,Pre-Monsoon,Konkan Coast / Central West Coast,Lakshadweep Sea & Ridge,2
Sardinella longiceps,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Lakshadweep Sea & Ridge,2
Sardinella longiceps,6,SW Monsoon,Wadge Bank / Comorin Sector,Lakshadweep Sea & Ridge,2
Sardinella longiceps,6,SW Monsoon,Wadge Bank / Comorin Sector,Wadge Bank / Comorin Sector,2
Sardinella longiceps,8,SW Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,2
Sardinella longiceps,8,SW Monsoon,Wadge Bank / Comorin Sector,Wadge Bank / Comorin Sector,1
Stolephorus indicus,5,Pre-Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,70
Stolephorus indicus,6,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,24
Stolephorus indicus,5,Pre-Monsoon,Lakshadweep Sea & Ridge,Malabar Upwelling Shelf,10
Stolephorus indicus,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,10
Stolephorus indicus,5,Pre-Monsoon,Malabar Upwelling Shelf,Konkan Coast / Central West Coast,7
Stolephorus indicus,5,Pre-Monsoon,Malabar Upwelling Shelf,Lakshadweep Sea & Ridge,7
Stolephorus indicus,5,Pre-Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,7
Stolephorus indicus,6,SW Monsoon,Malabar Upwelling Shelf,Konkan Coast / Central West Coast,6
Stolephorus indicus,6,SW Monsoon,Malabar Upwelling Shelf,Lakshadweep Sea & Ridge,6
Stolephorus indicus,6,SW Monsoon,Malabar Upwelling Shelf,Wadge Bank / Comorin Sector,6
Stolephorus indicus,7,SW Monsoon,Malabar Upwelling Shelf,Malabar Upwelling Shelf,3
Stolephorus indicus,5,Pre-Monsoon,Lakshadweep Sea & Ridge,Konkan Coast / Central West Coast,1
Stolephorus indicus,5,Pre-Monsoon,Lakshadweep Sea & Ridge,Lakshadweep Sea & Ridge,1
Stolephorus indicus,5,Pre-Monsoon,Lakshadweep Sea & Ridge,Wadge Bank / Comorin Sector,1
Stolephorus indicus,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Konkan Coast / Central West Coast,1
Stolephorus indicus,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Lakshadweep Sea & Ridge,1
Stolephorus indicus,5,Pre-Monsoon,Wadge Bank / Comorin Sector,Wadge Bank / Comorin Sector,1
Stolephorus indicus,7,SW Monsoon,Konkan Coast / Central West Coast,Malabar Upwelling Shelf,1
Stolephorus indicus,7,SW Monsoon,Lakshadweep Sea & Ridge,Malabar Upwelling Shelf,1
Stolephorus indicus,7,SW Monsoon,Wadge Bank / Comorin Sector,Malabar Upwelling Shelf,1
