image_path,relative_path,filename,species_id,species_name,common_name,family,tracking_id,fish_id,width,height,aspect_ratio,channels,mode,format,file_size_bytes,md5,is_duplicate,split
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000016839596_03984.png,raw\images\species_08\fish_000016839596_03984.png,fish_000016839596_03984.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,16839596,3984,64,49,1.306,3,RGB,PNG,4924,19a12c5eee7cbfd9182da1ffcc1b6036,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000016839596_03985.png,raw\images\species_08\fish_000016839596_03985.png,fish_000016839596_03985.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,16839596,3985,68,54,1.259,3,RGB,PNG,5279,d6709b1ce08da237a9573391b6e51d57,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_002667000108_02684.png,raw\images\species_08\fish_002667000108_02684.png,fish_002667000108_02684.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,2667000108,2684,99,87,1.138,3,RGB,PNG,12316,737f25f34cfe3356c2585c1ef52bdeda,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_002667000108_02686.png,raw\images\species_08\fish_002667000108_02686.png,fish_002667000108_02686.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,2667000108,2686,92,82,1.122,3,RGB,PNG,10639,f99a46c8572d346964f181c0fa92bc54,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_002667000108_02688.png,raw\images\species_08\fish_002667000108_02688.png,fish_002667000108_02688.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,2667000108,2688,91,78,1.167,3,RGB,PNG,9966,591a6b4b40cc0245e782267e6905c631,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003462545325_13073.png,raw\images\species_08\fish_003462545325_13073.png,fish_003462545325_13073.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3462545325,13073,108,147,0.735,3,RGB,PNG,23383,ce24132bf82229aceab560bb41a1c294,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003462545325_13074.png,raw\images\species_08\fish_003462545325_13074.png,fish_003462545325_13074.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3462545325,13074,172,130,1.323,3,RGB,PNG,25185,fc2b7da8e8ce7f5a89e4f7c8278b0db0,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003462545325_13075.png,raw\images\species_08\fish_003462545325_13075.png,fish_003462545325_13075.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3462545325,13075,151,118,1.28,3,RGB,PNG,22077,8655e812edd38fc4d9d3cd2869eed0a3,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003462545325_13076.png,raw\images\species_08\fish_003462545325_13076.png,fish_003462545325_13076.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3462545325,13076,131,110,1.191,3,RGB,PNG,18248,841a6d12e8af2935c6ca4a17b7382539,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000009299597_05124.png,raw\images\species_08\fish_000009299597_05124.png,fish_000009299597_05124.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,9299597,5124,118,120,0.983,3,RGB,PNG,14940,f4cdf7b6c4500c018ced78149abf5e9a,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003722805870_25909.png,raw\images\species_08\fish_003722805870_25909.png,fish_003722805870_25909.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3722805870,25909,151,135,1.119,3,RGB,PNG,32730,1bd1478ad3f5b2434bdf013a1dc4af56,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003568205517_26111.png,raw\images\species_08\fish_003568205517_26111.png,fish_003568205517_26111.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3568205517,26111,76,65,1.169,3,RGB,PNG,4592,84127e7c1df94481107601c976455c81,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_004583837425_26112.png,raw\images\species_08\fish_004583837425_26112.png,fish_004583837425_26112.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,4583837425,26112,111,105,1.057,3,RGB,PNG,15150,2e78bdd7ff50846dcd9e3dd59e35135c,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_004583837425_26125.png,raw\images\species_08\fish_004583837425_26125.png,fish_004583837425_26125.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,4583837425,26125,112,103,1.087,3,RGB,PNG,14028,b49e80f0bb19f883c2308caa465ef8d3,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026930001_02774.png,raw\images\species_08\fish_000026930001_02774.png,fish_000026930001_02774.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26930001,2774,123,105,1.171,3,RGB,PNG,14653,effe56ebb9f0d564e20f3d7e64135045,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026930001_02777.png,raw\images\species_08\fish_000026930001_02777.png,fish_000026930001_02777.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26930001,2777,123,109,1.128,3,RGB,PNG,16082,b941d66f517499b7d851ecb5de20e718,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026930001_02779.png,raw\images\species_08\fish_000026930001_02779.png,fish_000026930001_02779.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26930001,2779,124,110,1.127,3,RGB,PNG,16303,cefcac86ed6a2ec6fdd87863820b541f,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026930001_02782.png,raw\images\species_08\fish_000026930001_02782.png,fish_000026930001_02782.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26930001,2782,131,108,1.213,3,RGB,PNG,16448,6fd3d0fcadbc1e401204e5df4e6ec49d,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026930001_02783.png,raw\images\species_08\fish_000026930001_02783.png,fish_000026930001_02783.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26930001,2783,128,106,1.208,3,RGB,PNG,15903,80cc01a9707bf5c8fa9a39c04bb77277,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026930001_02784.png,raw\images\species_08\fish_000026930001_02784.png,fish_000026930001_02784.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26930001,2784,128,106,1.208,3,RGB,PNG,14427,0f0a31408c40ba9c9f3eb466887e9725,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000027480001_02917.png,raw\images\species_08\fish_000027480001_02917.png,fish_000027480001_02917.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,27480001,2917,99,75,1.32,3,RGB,PNG,12063,243c55220d1080428051673a95909dab,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000027480001_02918.png,raw\images\species_08\fish_000027480001_02918.png,fish_000027480001_02918.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,27480001,2918,95,74,1.284,3,RGB,PNG,11226,5a0787a4f83517f5ae78facfee86b527,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026940001_02775.png,raw\images\species_08\fish_000026940001_02775.png,fish_000026940001_02775.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26940001,2775,103,76,1.355,3,RGB,PNG,9123,59740ea0dfa7abf288a07f4a5822515b,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026940001_02778.png,raw\images\species_08\fish_000026940001_02778.png,fish_000026940001_02778.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26940001,2778,103,73,1.411,3,RGB,PNG,9186,052991c41aaf74f7ce8e3d59fa851f5a,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026940001_02780.png,raw\images\species_08\fish_000026940001_02780.png,fish_000026940001_02780.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26940001,2780,99,70,1.414,3,RGB,PNG,8539,f07643cac3852dc6a26ee751fe255653,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026940001_02785.png,raw\images\species_08\fish_000026940001_02785.png,fish_000026940001_02785.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26940001,2785,95,69,1.377,3,RGB,PNG,8331,c7e827f45565e74bb3038e63c5b654f0,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026940001_02786.png,raw\images\species_08\fish_000026940001_02786.png,fish_000026940001_02786.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26940001,2786,92,68,1.353,3,RGB,PNG,8083,f6ecce4ad9b2b343def847ce8ab4c606,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026940001_02787.png,raw\images\species_08\fish_000026940001_02787.png,fish_000026940001_02787.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26940001,2787,88,66,1.333,3,RGB,PNG,7498,9029106e129d806acf3d816815a08949,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003555475481_25544.png,raw\images\species_08\fish_003555475481_25544.png,fish_003555475481_25544.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3555475481,25544,71,72,0.986,3,RGB,PNG,7856,1e0648d42b143fef38d8f70a24e038d6,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003384335218_26110.png,raw\images\species_08\fish_003384335218_26110.png,fish_003384335218_26110.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3384335218,26110,91,95,0.958,3,RGB,PNG,11097,e6e341d105e07cee5aba5c83fa1df38b,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003467675331_11669.png,raw\images\species_08\fish_003467675331_11669.png,fish_003467675331_11669.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3467675331,11669,160,128,1.25,3,RGB,PNG,29988,db3a2e977f1e6b6da54ee0f02c1cf4ce,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003932146399_16521.png,raw\images\species_08\fish_003932146399_16521.png,fish_003932146399_16521.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3932146399,16521,99,80,1.238,3,RGB,PNG,6011,f940685cc7cb7c9211f68bfebb11f3d4,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003717165859_22886.png,raw\images\species_08\fish_003717165859_22886.png,fish_003717165859_22886.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3717165859,22886,93,103,0.903,3,RGB,PNG,12246,66961b64618cec9d488197a68675ef21,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000045569596_04529.png,raw\images\species_08\fish_000045569596_04529.png,fish_000045569596_04529.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,45569596,4529,104,80,1.3,3,RGB,PNG,9813,d67cc05c8e774783a6acb4c1af344ddd,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000045569596_04530.png,raw\images\species_08\fish_000045569596_04530.png,fish_000045569596_04530.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,45569596,4530,103,82,1.256,3,RGB,PNG,11412,8ba2054f00bdb76ca7a7fc35792d8cbc,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003445385304_23546.png,raw\images\species_08\fish_003445385304_23546.png,fish_003445385304_23546.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3445385304,23546,152,124,1.226,3,RGB,PNG,20839,8fdd8094b794e54b04f6a1f39957ff2a,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003629135658_22997.png,raw\images\species_08\fish_003629135658_22997.png,fish_003629135658_22997.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3629135658,22997,88,75,1.173,3,RGB,PNG,9179,468aa63c0583d8cebd86ff5e265be0dd,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000034560001_03267.png,raw\images\species_08\fish_000034560001_03267.png,fish_000034560001_03267.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,34560001,3267,119,93,1.28,3,RGB,PNG,15912,f68222e51eeadeae5705a7af26b326ce,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003755435976_13068.png,raw\images\species_08\fish_003755435976_13068.png,fish_003755435976_13068.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3755435976,13068,153,199,0.769,3,RGB,PNG,36406,b57d1d0e70e4866fedd1de491a275438,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026190001_02549.png,raw\images\species_08\fish_000026190001_02549.png,fish_000026190001_02549.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26190001,2549,75,66,1.136,3,RGB,PNG,7104,79d852f30806f1d8caa0b010c291cc19,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026190001_02550.png,raw\images\species_08\fish_000026190001_02550.png,fish_000026190001_02550.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26190001,2550,84,72,1.167,3,RGB,PNG,8899,6c21633f8e09a5bf028c21143e4aa19f,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026190001_02552.png,raw\images\species_08\fish_000026190001_02552.png,fish_000026190001_02552.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26190001,2552,96,81,1.185,3,RGB,PNG,11294,8fd234fd840ae7eeed5dcfa81bb375a1,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026190001_02553.png,raw\images\species_08\fish_000026190001_02553.png,fish_000026190001_02553.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26190001,2553,78,80,0.975,3,RGB,PNG,9340,5a70a5cf7c46becde47cd7f47032e098,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026190001_02554.png,raw\images\species_08\fish_000026190001_02554.png,fish_000026190001_02554.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26190001,2554,78,79,0.987,3,RGB,PNG,8737,0661c76499e5f72d476a12985556712c,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000027280001_02875.png,raw\images\species_08\fish_000027280001_02875.png,fish_000027280001_02875.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,27280001,2875,88,72,1.222,3,RGB,PNG,9850,8102982678745e6e5c0a9f720a71e500,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000027280001_02877.png,raw\images\species_08\fish_000027280001_02877.png,fish_000027280001_02877.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,27280001,2877,87,74,1.176,3,RGB,PNG,9943,1b0b8b0c3c3a859dfd20a540f48966de,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000041839596_04426.png,raw\images\species_08\fish_000041839596_04426.png,fish_000041839596_04426.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,41839596,4426,80,62,1.29,3,RGB,PNG,7296,81f8d098a8320cb7122113d06b49a153,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000041839596_04427.png,raw\images\species_08\fish_000041839596_04427.png,fish_000041839596_04427.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,41839596,4427,83,68,1.221,3,RGB,PNG,8226,9412625cfc755aef5927274a43c680e3,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000041839596_04428.png,raw\images\species_08\fish_000041839596_04428.png,fish_000041839596_04428.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,41839596,4428,84,72,1.167,3,RGB,PNG,8776,211597d2297c822724ee96ce51509343,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000041839596_04432.png,raw\images\species_08\fish_000041839596_04432.png,fish_000041839596_04432.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,41839596,4432,72,71,1.014,3,RGB,PNG,7368,e86826bb445fd6d5674fd0e5266dafe7,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003412465253_21579.png,raw\images\species_08\fish_003412465253_21579.png,fish_003412465253_21579.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3412465253,21579,192,158,1.215,3,RGB,PNG,26331,b7600fc3c0a52dfe52a7708be66ab9f3,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_004275176976_26654.png,raw\images\species_08\fish_004275176976_26654.png,fish_004275176976_26654.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,4275176976,26654,67,63,1.063,3,RGB,PNG,6376,2c861191951e9ac4417fa039cedbe98d,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_004653103557_13878.png,raw\images\species_08\fish_004653103557_13878.png,fish_004653103557_13878.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,4653103557,13878,92,89,1.034,3,RGB,PNG,12427,bf026666519d3e9db6ff58b5d47d985b,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000037699596_04291.png,raw\images\species_08\fish_000037699596_04291.png,fish_000037699596_04291.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,37699596,4291,141,156,0.904,3,RGB,PNG,27772,afdfb68e3ce0d40edc2eefc9f78b5b93,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000037699596_04297.png,raw\images\species_08\fish_000037699596_04297.png,fish_000037699596_04297.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,37699596,4297,135,139,0.971,3,RGB,PNG,27339,2826b7da88f04de941b51ffff6582108,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000037699596_04300.png,raw\images\species_08\fish_000037699596_04300.png,fish_000037699596_04300.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,37699596,4300,136,131,1.038,3,RGB,PNG,28603,d9317f8e1f10c164fbcfa5ecd47a244a,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000037699596_04304.png,raw\images\species_08\fish_000037699596_04304.png,fish_000037699596_04304.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,37699596,4304,148,130,1.138,3,RGB,PNG,31860,5b39c6846add25dcb67ec731b1d21b04,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003888196299_09810.png,raw\images\species_08\fish_003888196299_09810.png,fish_003888196299_09810.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3888196299,9810,83,66,1.258,3,RGB,PNG,7140,1d37799dc94b3524a05c80916b38b07f,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000013890001_01463.png,raw\images\species_08\fish_000013890001_01463.png,fish_000013890001_01463.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,13890001,1463,128,111,1.153,3,RGB,PNG,16464,ab48e538f629bf86e208d50e1a334326,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000013890001_01464.png,raw\images\species_08\fish_000013890001_01464.png,fish_000013890001_01464.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,13890001,1464,128,110,1.164,3,RGB,PNG,16229,db6c2af7f4109e9208ff76f91901681e,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000013890001_01465.png,raw\images\species_08\fish_000013890001_01465.png,fish_000013890001_01465.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,13890001,1465,132,113,1.168,3,RGB,PNG,20282,95f389668d509f7c65b4284adbb478a6,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003772196012_13071.png,raw\images\species_08\fish_003772196012_13071.png,fish_003772196012_13071.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3772196012,13071,144,116,1.241,3,RGB,PNG,25720,dc6588301c92a5851e67e3539f41012e,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_003865466237_25528.png,raw\images\species_08\fish_003865466237_25528.png,fish_003865466237_25528.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,3865466237,25528,91,74,1.23,3,RGB,PNG,11922,1babc77a2452168c8032e7830c17b76a,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026310001_02565.png,raw\images\species_08\fish_000026310001_02565.png,fish_000026310001_02565.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26310001,2565,96,81,1.185,3,RGB,PNG,10142,97585d891e5cf43eb6c37f75ebcb80cb,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026310001_02566.png,raw\images\species_08\fish_000026310001_02566.png,fish_000026310001_02566.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26310001,2566,115,89,1.292,3,RGB,PNG,14115,57303693e3fbd58cc3bc1ae078fba58a,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026310001_02567.png,raw\images\species_08\fish_000026310001_02567.png,fish_000026310001_02567.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26310001,2567,107,89,1.202,3,RGB,PNG,12210,32caccc4b761b697c67f7c187aef79b9,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026310001_02568.png,raw\images\species_08\fish_000026310001_02568.png,fish_000026310001_02568.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26310001,2568,104,89,1.169,3,RGB,PNG,11878,bd065f88af071228b74db3e88396d0ce,False,train
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_08\fish_000026310001_02570.png,raw\images\species_08\fish_000026310001_02570.png,fish_000026310001_02570.png,8,Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,26310001,2570,104,92,1.13,3,RGB,PNG,12478,50023748cc902ea93a47d8e22f673996,False,train
