image_path,relative_path,filename,species_id,species_name,common_name,family,tracking_id,fish_id,width,height,aspect_ratio,channels,mode,format,file_size_bytes,md5,is_duplicate
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000007609596_03845.png,raw\images\species_02\fish_000007609596_03845.png,fish_000007609596_03845.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000007609596,03845,64,53,1.208,3,RGB,PNG,5640,017bdf4df0be5965a073c76e2b34998d,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000007609596_03846.png,raw\images\species_02\fish_000007609596_03846.png,fish_000007609596_03846.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000007609596,03846,64,52,1.231,3,RGB,PNG,5656,0c6c7263cfefa8ba6ad60f23409a5e36,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000007609596_03847.png,raw\images\species_02\fish_000007609596_03847.png,fish_000007609596_03847.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000007609596,03847,51,47,1.085,3,RGB,PNG,4292,2624d9af1472234eab9941da5bfc6a89,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000010429596_03902.png,raw\images\species_02\fish_000010429596_03902.png,fish_000010429596_03902.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000010429596,03902,58,59,0.983,3,RGB,PNG,5631,890fd4d7076c903a82977748557263f8,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000010429596_03904.png,raw\images\species_02\fish_000010429596_03904.png,fish_000010429596_03904.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000010429596,03904,71,63,1.127,3,RGB,PNG,7098,8a76ff8ef32945053ed9acbc55a1368f,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000010429596_03908.png,raw\images\species_02\fish_000010429596_03908.png,fish_000010429596_03908.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000010429596,03908,64,57,1.123,3,RGB,PNG,5660,59230fbf76ed6fe655ad7751ed1a97ee,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000010429596_03911.png,raw\images\species_02\fish_000010429596_03911.png,fish_000010429596_03911.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000010429596,03911,60,52,1.154,3,RGB,PNG,4544,db2a14671ac1ad43c6399034f3531ca1,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000010429596_03913.png,raw\images\species_02\fish_000010429596_03913.png,fish_000010429596_03913.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000010429596,03913,75,61,1.23,3,RGB,PNG,7081,6d7d1145a79d13297daaf8adf3de6abe,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03941.png,raw\images\species_02\fish_000012689596_03941.png,fish_000012689596_03941.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03941,68,60,1.133,3,RGB,PNG,6092,65e2861c508a4440a3c7fea0db80218d,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03942.png,raw\images\species_02\fish_000012689596_03942.png,fish_000012689596_03942.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03942,71,70,1.014,3,RGB,PNG,7442,cdc5f3a04aa531c3de1c53ea37133776,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03943.png,raw\images\species_02\fish_000012689596_03943.png,fish_000012689596_03943.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03943,83,74,1.122,3,RGB,PNG,8964,755c2e05d3b7d2836dd6eae6a2bed6f5,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03944.png,raw\images\species_02\fish_000012689596_03944.png,fish_000012689596_03944.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03944,84,70,1.2,3,RGB,PNG,8446,99be913a7eccaf4ab1173de4dbddcd50,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03945.png,raw\images\species_02\fish_000012689596_03945.png,fish_000012689596_03945.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03945,80,66,1.212,3,RGB,PNG,7637,2ec86d45fad3cd9c2fe5a90ef4736241,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03947.png,raw\images\species_02\fish_000012689596_03947.png,fish_000012689596_03947.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03947,67,65,1.031,3,RGB,PNG,6906,f67c9b514b3f631c19ef245361b36c8f,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03951.png,raw\images\species_02\fish_000012689596_03951.png,fish_000012689596_03951.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03951,58,63,0.921,3,RGB,PNG,6303,5032cffbef8200fdcc1e6b251f817075,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03954.png,raw\images\species_02\fish_000012689596_03954.png,fish_000012689596_03954.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03954,54,59,0.915,3,RGB,PNG,5487,64a49b853ad76d4f24b51e6ed0a531ee,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03962.png,raw\images\species_02\fish_000012689596_03962.png,fish_000012689596_03962.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03962,63,55,1.145,3,RGB,PNG,6033,3f32230af2604be284f69ddd5d6a0015,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03965.png,raw\images\species_02\fish_000012689596_03965.png,fish_000012689596_03965.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03965,56,50,1.12,3,RGB,PNG,4936,a55862e9927e24b58fec88fd61adca8a,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03968.png,raw\images\species_02\fish_000012689596_03968.png,fish_000012689596_03968.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03968,59,53,1.113,3,RGB,PNG,5512,5dfaebeb072efac0502acf535b339eb1,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03971.png,raw\images\species_02\fish_000012689596_03971.png,fish_000012689596_03971.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03971,55,51,1.078,3,RGB,PNG,5052,7289b6db7b5eeb85af095b4bff4d32c1,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012689596_03974.png,raw\images\species_02\fish_000012689596_03974.png,fish_000012689596_03974.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012689596,03974,55,52,1.058,3,RGB,PNG,5134,92659476ecad1e16524f188a53ba2000,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012709596_03950.png,raw\images\species_02\fish_000012709596_03950.png,fish_000012709596_03950.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012709596,03950,56,51,1.098,3,RGB,PNG,5203,d468a5aa5186085f63be80660b546181,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012709596_03953.png,raw\images\species_02\fish_000012709596_03953.png,fish_000012709596_03953.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012709596,03953,55,51,1.078,3,RGB,PNG,5082,05fa4c66911fb7888f679dc3909674a4,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012709596_03957.png,raw\images\species_02\fish_000012709596_03957.png,fish_000012709596_03957.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012709596,03957,56,50,1.12,3,RGB,PNG,5212,bac186e7df9971e9d086b1a80f4ac6c9,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012709596_03960.png,raw\images\species_02\fish_000012709596_03960.png,fish_000012709596_03960.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012709596,03960,52,48,1.083,3,RGB,PNG,4524,a2c19c89044f6963d150f910a60f154d,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012709596_03964.png,raw\images\species_02\fish_000012709596_03964.png,fish_000012709596_03964.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012709596,03964,56,56,1.0,3,RGB,PNG,5769,59ff678daee2f495624fe6c401899e89,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012709596_03967.png,raw\images\species_02\fish_000012709596_03967.png,fish_000012709596_03967.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012709596,03967,63,61,1.033,3,RGB,PNG,6827,bbf9966224149c244b0f788e9387f221,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000012709596_03972.png,raw\images\species_02\fish_000012709596_03972.png,fish_000012709596_03972.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000012709596,03972,56,53,1.057,3,RGB,PNG,5178,458cbc296bdd78dea447ab08a0013867,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01099.png,raw\images\species_02\fish_000013120001_01099.png,fish_000013120001_01099.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01099,79,75,1.053,3,RGB,PNG,9406,999f71620bbc17b8d0759060ee77683a,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01100.png,raw\images\species_02\fish_000013120001_01100.png,fish_000013120001_01100.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01100,87,81,1.074,3,RGB,PNG,10459,23a71185bf0870073392cea04c62fafb,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01101.png,raw\images\species_02\fish_000013120001_01101.png,fish_000013120001_01101.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01101,95,86,1.105,3,RGB,PNG,10019,2ecebe7c980c17895fcb3259f604b58f,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01102.png,raw\images\species_02\fish_000013120001_01102.png,fish_000013120001_01102.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01102,99,89,1.112,3,RGB,PNG,9425,d027908df334d44f5db4b10c9d360748,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01103.png,raw\images\species_02\fish_000013120001_01103.png,fish_000013120001_01103.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01103,88,84,1.048,3,RGB,PNG,8313,52361203b6e09a8d81bd73a9f8b22073,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01104.png,raw\images\species_02\fish_000013120001_01104.png,fish_000013120001_01104.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01104,88,85,1.035,3,RGB,PNG,8418,ad122a64fa31a9107be9eadf9da1f965,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01105.png,raw\images\species_02\fish_000013120001_01105.png,fish_000013120001_01105.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01105,87,80,1.087,3,RGB,PNG,7903,ccbe9009fb4129cea10b10bd4b5daf24,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01106.png,raw\images\species_02\fish_000013120001_01106.png,fish_000013120001_01106.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01106,76,72,1.056,3,RGB,PNG,6440,1e9e9232c1780cf46f4a099e6708b609,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01107.png,raw\images\species_02\fish_000013120001_01107.png,fish_000013120001_01107.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01107,72,70,1.029,3,RGB,PNG,6061,c5ff138a3dcfc3c018313687a95a883d,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01108.png,raw\images\species_02\fish_000013120001_01108.png,fish_000013120001_01108.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01108,72,65,1.108,3,RGB,PNG,5244,dc711e6b77688756ac04e7e1bba45fc0,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01109.png,raw\images\species_02\fish_000013120001_01109.png,fish_000013120001_01109.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01109,68,67,1.015,3,RGB,PNG,5482,d94f0de53e433bc2bb58a6bbbf72df93,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01110.png,raw\images\species_02\fish_000013120001_01110.png,fish_000013120001_01110.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01110,68,67,1.015,3,RGB,PNG,5482,d94f0de53e433bc2bb58a6bbbf72df93,True
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01111.png,raw\images\species_02\fish_000013120001_01111.png,fish_000013120001_01111.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01111,65,67,0.97,3,RGB,PNG,5379,2619de0823d4e6ff2029dcde0b2cf252,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013120001_01112.png,raw\images\species_02\fish_000013120001_01112.png,fish_000013120001_01112.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013120001,01112,91,90,1.011,3,RGB,PNG,10484,278eca62516b065f4e41621113bc105c,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013130001_01113.png,raw\images\species_02\fish_000013130001_01113.png,fish_000013130001_01113.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013130001,01113,69,75,0.92,3,RGB,PNG,6507,2b5738a103044b77c1dbbdccb62e987d,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013130001_01114.png,raw\images\species_02\fish_000013130001_01114.png,fish_000013130001_01114.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013130001,01114,70,75,0.933,3,RGB,PNG,6586,c1ee4e968fa196ba87abab948264ded9,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013130001_01115.png,raw\images\species_02\fish_000013130001_01115.png,fish_000013130001_01115.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013130001,01115,87,85,1.024,3,RGB,PNG,9259,db637f1f458844b1202a5476a088d905,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013130001_01116.png,raw\images\species_02\fish_000013130001_01116.png,fish_000013130001_01116.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013130001,01116,96,86,1.116,3,RGB,PNG,10697,5c3a0c64e39de28d02d3e943f933feb8,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013130001_01117.png,raw\images\species_02\fish_000013130001_01117.png,fish_000013130001_01117.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013130001,01117,92,86,1.07,3,RGB,PNG,10877,f3f6db10f2b6e94d3fa132de15e54fa1,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013130001_01118.png,raw\images\species_02\fish_000013130001_01118.png,fish_000013130001_01118.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013130001,01118,84,80,1.05,3,RGB,PNG,9416,c47f1080ffad405a1330e527192edb71,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013130001_01119.png,raw\images\species_02\fish_000013130001_01119.png,fish_000013130001_01119.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013130001,01119,76,69,1.101,3,RGB,PNG,7565,1a7c280ef3252a88d8cd93994b0de76c,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013130001_01120.png,raw\images\species_02\fish_000013130001_01120.png,fish_000013130001_01120.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013130001,01120,76,69,1.101,3,RGB,PNG,7565,1a7c280ef3252a88d8cd93994b0de76c,True
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013250001_01194.png,raw\images\species_02\fish_000013250001_01194.png,fish_000013250001_01194.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013250001,01194,64,68,0.941,3,RGB,PNG,6737,c625b4c91d56edcbdb0a43b9647b12dc,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013250001_01195.png,raw\images\species_02\fish_000013250001_01195.png,fish_000013250001_01195.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013250001,01195,63,68,0.926,3,RGB,PNG,5699,d7f0b39f1641925a78a9d05fbddb0f5f,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013250001_01196.png,raw\images\species_02\fish_000013250001_01196.png,fish_000013250001_01196.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013250001,01196,85,91,0.934,3,RGB,PNG,9362,44e3d039bd910612dd6a89fa1934b51e,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013250001_01197.png,raw\images\species_02\fish_000013250001_01197.png,fish_000013250001_01197.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013250001,01197,92,95,0.968,3,RGB,PNG,10552,04157b52ec41009ef3e3f21926db3acb,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013250001_01198.png,raw\images\species_02\fish_000013250001_01198.png,fish_000013250001_01198.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013250001,01198,112,91,1.231,3,RGB,PNG,11958,98532f453ffe70d3e8723469dd0e39a8,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013330001_01234.png,raw\images\species_02\fish_000013330001_01234.png,fish_000013330001_01234.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013330001,01234,83,82,1.012,3,RGB,PNG,7795,89d2313a4e0183d714ff4ee5da993fa4,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013330001_01236.png,raw\images\species_02\fish_000013330001_01236.png,fish_000013330001_01236.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013330001,01236,83,83,1.0,3,RGB,PNG,8358,96e0993c56d6fab0cad4493e7a953028,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013330001_01238.png,raw\images\species_02\fish_000013330001_01238.png,fish_000013330001_01238.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013330001,01238,83,83,1.0,3,RGB,PNG,8358,96e0993c56d6fab0cad4493e7a953028,True
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013330001_01239.png,raw\images\species_02\fish_000013330001_01239.png,fish_000013330001_01239.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013330001,01239,108,93,1.161,3,RGB,PNG,10184,695eac34112bb0990f53814829894dbf,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013560001_01345.png,raw\images\species_02\fish_000013560001_01345.png,fish_000013560001_01345.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013560001,01345,96,77,1.247,3,RGB,PNG,11405,02ff7ab6f88e19ced28f649fced60957,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013560001_01346.png,raw\images\species_02\fish_000013560001_01346.png,fish_000013560001_01346.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013560001,01346,76,68,1.118,3,RGB,PNG,9540,399e8608ae2aacea8ede71ba9a72b4c6,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013560001_01347.png,raw\images\species_02\fish_000013560001_01347.png,fish_000013560001_01347.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013560001,01347,80,67,1.194,3,RGB,PNG,9247,a3c811be25199f53effb19b21fe71731,False
R:\PP\Marine-Intelligence-Platform\marine-species-identification\data\raw\images\species_02\fish_000013630001_01348.png,raw\images\species_02\fish_000013630001_01348.png,fish_000013630001_01348.png,2,Plectroglyphidodon dickii,Blackbar damselfish,Pomacentridae,000013630001,01348,72,75,0.96,3,RGB,PNG,6746,698ab8c374463421825f5d58e148208d,False
